iter	Passed	Remaining
0	5	5765
1	13	6829
2	20	6702
3	25	6272
4	31	6298
5	36	6105
6	44	6337
7	51	6397
8	78	8678
9	83	8245
10	86	7815
11	92	7643
12	95	7235
13	97	6871
14	100	6578
15	104	6414
16	106	6161
17	109	5971
18	112	5800
19	114	5631
20	117	5477
21	119	5316
22	122	5197
23	124	5074
24	127	4979
25	130	4883
26	132	4790
27	134	4686
28	137	4595
29	140	4535
30	142	4450
31	145	4402
32	148	4347
33	150	4277
34	153	4229
35	156	4180
36	159	4148
37	161	4091
38	164	4052
39	166	3989
40	168	3937
41	171	3906
42	174	3873
43	176	3825
44	178	3786
45	181	3754
46	183	3717
47	186	3694
48	188	3663
49	190	3628
50	192	3590
51	196	3575
52	198	3541
53	200	3506
54	202	3484
55	205	3460
56	207	3437
57	210	3422
58	212	3383
59	215	3370
60	217	3346
61	219	3320
62	222	3308
63	224	3287
64	227	3270
65	230	3258
66	233	3245
67	235	3233
68	238	3213
69	240	3198
70	244	3197
71	246	3181
72	249	3163
73	251	3152
74	254	3143
75	257	3134
76	260	3121
77	262	3106
78	265	3095
79	267	3077
80	269	3060
81	276	3099
82	280	3094
83	282	3077
84	284	3063
85	288	3061
86	290	3045
87	292	3032
88	295	3025
89	297	3012
90	301	3012
91	304	3001
92	307	2996
93	309	2987
94	312	2980
95	316	2980
96	319	2976
97	321	2956
98	324	2950
99	326	2940
100	330	2942
101	333	2932
102	335	2917
103	338	2912
104	341	2908
105	344	2908
106	347	2900
107	349	2889
108	352	2877
109	354	2871
110	358	2870
111	360	2860
112	363	2855
113	366	2847
114	368	2837
115	371	2833
116	374	2825
117	376	2815
118	379	2807
119	382	2802
120	389	2830
121	391	2819
122	393	2807
123	396	2802
124	400	2803
125	403	2796
126	405	2790
127	409	2786
128	411	2776
129	413	2769
130	416	2762
131	418	2753
132	421	2746
133	423	2738
134	426	2731
135	429	2729
136	431	2720
137	434	2711
138	436	2704
139	439	2699
140	443	2699
141	446	2695
142	449	2691
143	451	2683
144	453	2675
145	457	2675
146	459	2668
147	462	2664
148	465	2660
149	470	2663
150	473	2661
151	476	2656
152	478	2649
153	481	2643
154	484	2643
155	486	2631
156	488	2624
157	491	2620
158	494	2613
159	497	2610
160	499	2605
161	502	2599
162	505	2593
163	507	2588
164	512	2591
165	514	2583
166	518	2586
167	521	2580
168	523	2571
169	528	2581
170	532	2581
171	535	2575
172	537	2569
173	541	2569
174	544	2567
175	547	2563
176	549	2556
177	553	2556
178	556	2551
179	558	2544
180	560	2537
181	563	2532
182	566	2530
183	569	2526
184	571	2519
185	574	2515
186	576	2508
187	579	2500
188	581	2496
189	584	2490
190	586	2484
191	589	2478
192	592	2475
193	596	2478
194	601	2482
195	604	2478
196	607	2474
197	611	2476
198	613	2470
199	616	2466
200	618	2457
201	620	2450
202	624	2452
203	627	2447
204	629	2442
205	632	2439
206	635	2436
207	639	2436
208	642	2430
209	644	2425
210	646	2417
211	649	2414
212	653	2413
213	655	2408
214	658	2405
215	662	2403
216	664	2398
217	668	2397
218	670	2392
219	673	2388
220	676	2384
221	680	2384
222	682	2378
223	685	2374
224	687	2369
225	690	2363
226	692	2356
227	695	2354
228	697	2349
229	700	2345
230	703	2342
231	705	2336
232	709	2334
233	712	2330
234	714	2324
235	716	2320
236	719	2317
237	724	2318
238	726	2313
239	729	2309
240	731	2304
241	734	2301
242	738	2300
243	740	2294
244	743	2290
245	746	2287
246	748	2283
247	752	2282
248	755	2277
249	757	2272
250	760	2268
251	762	2263
252	767	2266
253	770	2261
254	773	2258
255	775	2253
256	778	2250
257	782	2251
258	785	2247
259	787	2242
260	790	2239
261	795	2239
262	797	2234
263	800	2230
264	803	2227
265	805	2223
266	810	2224
267	812	2220
268	815	2217
269	818	2213
270	821	2209
271	824	2208
272	827	2202
273	829	2198
274	832	2195
275	834	2190
276	838	2188
277	840	2183
278	843	2178
279	846	2175
280	848	2172
281	852	2170
282	854	2165
283	858	2163
284	860	2157
285	862	2153
286	866	2152
287	868	2147
288	870	2142
289	873	2139
290	876	2135
291	880	2135
292	883	2130
293	886	2127
294	888	2123
295	891	2120
296	895	2120
297	898	2116
298	900	2112
299	903	2107
300	906	2104
301	909	2102
302	912	2098
303	914	2094
304	917	2090
305	919	2085
306	923	2085
